case_id,sample_universe,report_id,phase,standard_id,disclosure_id,material_topic,requirement_id,occurrence_idx,a0_status_resolved,a0_decision_path,a0_rationale,a0_citations_json,a1_status_resolved,a1_decision_path,a1_rationale,a1_citations_json,a2_status_resolved,a2_decision_path,a2_rationale,a2_citations_json,v_new_status_resolved,v_new_decision_path,v_new_rationale,v_new_citations_json,disagreement_meta
D080,disagreement,HPCL2024,phase5,GRI 3,3-3,"Business Ethics, Transparency & Regulatory Compliance (GRI OGSS Topic: Payments to Governments)",c,0,no_evidence,standard,No policies or commitments related to the material topic are described,"[""HPCL2024__c_0363"", ""HPCL2024__c_0364""]",no_evidence,standard,No policies or commitments related to the material topic are described,"[""HPCL2024__c_0363"", ""HPCL2024__c_0364""]",no_evidence,standard,No policies/commitments related to 'Payments to Governments' are described.,"[""HPCL2024__c_0363"", ""HPCL2024__c_0364""]",no_evidence,standard,No policies/commitments related to 'Payments to Governments' are described.,"[""HPCL2024__c_0363"", ""HPCL2024__c_0364""]",all_agree
D081,disagreement,Bangchak2025,phase5,GRI 3,3-3,Water and effluents,b,0,pass,standard,"Evidence describes involvement in negative impacts (e.g., water withdrawal risks) and associated activities (e.g., wastewater treatment).","[""Bangchak2025__c_0215"", ""Bangchak2025__c_0216""]",no_evidence,standard,No explicit mention of involvement in negative impacts through activities or business relationships.,[],pass,standard,Explicitly describes involvement in negative impacts through water withdrawal and wastewater discharge at the refinery.,"[""Bangchak2025__c_0215"", ""Bangchak2025__c_0218"", ""Bangchak2025__c_0219""]",partial,standard,Mentions water risk assessment and drought management but lacks explicit confirmation of involvement in negative impacts through activities/business relationships.,"[""Bangchak2025__c_0216"", ""Bangchak2025__c_0215""]",3stat
D082,disagreement,OKQ82024,phase5,GRI 3,3-3,Non-discrimination,e.iii,0,pass,standard,"Discusses progress metrics (e.g., 27% decrease in lost workdays, gender balance) to evaluate action effectiveness.","[""OKQ82024__c_0075"", ""OKQ82024__c_0081""]",pass,standard,"Equal Pay Index results (98.1, 98.8) and gender balance ratio (51/49) demonstrate progress toward goals.","[""OKQ82024__c_0081"", ""OKQ82024__c_0075"", ""OKQ82024__c_0078"", ""OKQ82024__c_0076"", ""OKQ82024__c_0079""]",partial,standard,Reports gender balance and pay gaps but lacks explicit progress evaluation against non-discrimination goals.,"[""OKQ82024__c_0075"", ""OKQ82024__c_0081""]",partial,standard,Equal pay index results (98.1/98.8) and gender balance (51/49) show progress but lack explicit goal alignment.,"[""OKQ82024__c_0081"", ""OKQ82024__c_0075""]",2v2
D083,disagreement,Mubadala2023,phase5,GRI 3,3-3,Innovation & Digital Transformation,e.ii,0,no_evidence,standard,"No specific goals, targets, or indicators for evaluating progress are reported.","[""Mubadala2023__c_0133"", ""Mubadala2023__c_0134""]",no_evidence,standard,"No specific goals, targets, or indicators for evaluating progress under 'Innovation & Digital Transformation'.","[""Mubadala2023__c_0133"", ""Mubadala2023__c_0134""]",no_evidence,standard,"No specific goals, targets, or indicators for evaluating progress are reported.","[""Mubadala2023__c_0133"", ""Mubadala2023__c_0134"", ""Mubadala2023__c_0135""]",no_evidence,standard,"No evidence reports goals, targets, or indicators used to evaluate progress for 'Innovation & Digital Transformation'.","[""Mubadala2023__c_0133"", ""Mubadala2023__c_0134""]",all_agree
D084,disagreement,OQ2023,phase5,GRI 3,3-3,Human Right Protection & Labour Management,a,0,no_evidence,standard,No explicit description of actual/potential impacts on economy/environment/people (including human rights) is provided.,"[""OQ2023__c_0072"", ""OQ2023__c_0073""]",no_evidence,standard,No explicit description of actual/potential impacts on economy/environment/people (including human rights) is provided.,"[""OQ2023__c_0072"", ""OQ2023__c_0073""]",no_evidence,standard,"No explicit description of actual/potential impacts on economy/environment/people, including human rights.",[],no_evidence,standard,"No explicit description of actual/potential impacts on economy/environment/people, including human rights.",[],all_agree
D085,disagreement,OKQ82023,phase5,GRI 3,3-3,Supplier environmental assessment,a,0,partial,standard,"Evidence mentions environmental impacts (e.g., EcoVadis assessments) but lacks explicit description of economic or social impacts, or human rights considerations specific to supplier environmental assessment.","[""OKQ82023__c_0073"", ""OKQ82023__c_0074""]",partial,standard,Mentions ESG performance assessment but lacks explicit description of impacts on economy/environment/people.,"[""OKQ82023__c_0071"", ""OKQ82023__c_0070"", ""OKQ82023__c_0148"", ""OKQ82023__c_0072"", ""OKQ82023__c_0150""]",no_evidence,standard,No explicit description of actual/potential impacts on economy/environment/people related to supplier environmental assessment.,"[""OKQ82023__c_0070"", ""OKQ82023__c_0071"", ""OKQ82023__c_0073"", ""OKQ82023__c_0074"", ""OKQ82023__c_0148""]",no_evidence,standard,"No evidence describes impacts on economy, environment, or people related to supplier environmental assessment.",[],2v2
D086,disagreement,OKQ82024,phase5,GRI 3,3-3,Supplier environmental assessment,d.iii,0,pass,standard,"Actions include promoting sustainable choices, circular solutions, and transparency as positive impacts management strategies.","[""OKQ82024__c_0060"", ""OKQ82024__c_0059"", ""OKQ82024__c_0130"", ""OKQ82024__c_0131"", ""OKQ82024__c_0134""]",pass,standard,"Describes positive impacts (e.g., biofuels from waste, circular solutions).","[""OKQ82024__c_0134"", ""OKQ82024__c_0060"", ""OKQ82024__c_0133"", ""OKQ82024__c_0061"", ""OKQ82024__c_0139""]",no_evidence,standard,No evidence describes actions to manage positive impacts related to supplier environmental assessment.,[],no_evidence,standard,No evidence describes actions to manage positive impacts related to supplier environmental assessment.,[],2v2
D087,disagreement,Desfa2023,phase5,GRI 3,3-3,Privacy,b,0,no_evidence,standard,No explicit mention of involvement in negative impacts through activities or business relationships related to privacy.,[],partial,standard,Mentions breaches and policy failures but lacks explicit linkage to organizational activities/business relationships.,"[""Desfa2023__c_0209""]",no_evidence,standard,No evidence reports involvement with negative Privacy impacts through activities/business relationships.,[],no_evidence,standard,No evidence reports involvement with negative Privacy impacts.,[],1v3
D088,disagreement,Bapco2023,phase5,GRI 3,3-3,"Health, safety and well-being",e.i,0,pass,standard,Internal/external audits and the HSSE Committee are described as processes tracking effectiveness.,"[""Bapco2023__c_0063"", ""Bapco2023__c_0064""]",pass,standard,Internal/external audits and HSSE Committee processes explicitly track effectiveness.,"[""Bapco2023__c_0064""]",pass,standard,"Internal audits, external reviews, and HSSE Committee processes are described for tracking effectiveness.","[""Bapco2023__c_0063"", ""Bapco2023__c_0064""]",pass,standard,Internal/external audits and HSSE Committee track HSEMS effectiveness.,"[""Bapco2023__c_0064"", ""Bapco2023__c_0063""]",all_agree
D089,disagreement,OKQ82024,phase5,GRI 3,3-3,Supplier social assessment,e.iii,0,partial,standard,References EcoVadis improvements but lacks detailed progress tracking against specific goals.,"[""OKQ82024__c_0064"", ""OKQ82024__c_0061"", ""OKQ82024__c_0131"", ""OKQ82024__c_0133"", ""OKQ82024__c_0060""]",partial,standard,Improvements in EcoVadis ratings (chunk 0064) and supplier compliance (chunk 0133) indicate progress but lack specific progress reports against defined goals.,"[""OKQ82024__c_0064"", ""OKQ82024__c_0133""]",partial,standard,"Improvements in EcoVadis ratings mentioned, but no explicit progress toward specific goals.","[""OKQ82024__c_0061"", ""OKQ82024__c_0064"", ""OKQ82024__c_0130"", ""OKQ82024__c_0131"", ""OKQ82024__c_0133""]",partial,standard,Weak evidence of effectiveness via EcoVadis improvements but no explicit progress toward goals.,"[""OKQ82024__c_0064"", ""OKQ82024__c_0122""]",all_agree
D090,disagreement,Bangchak2024,phase5,GRI 3,3-3,Conflict and security,f,0,no_evidence,standard,"No evidence discusses stakeholder engagement related to 'Conflict and security'. Evidence focuses on human rights, employee engagement, and environmental issues.","[""Bangchak2024__c_0298"", ""Bangchak2024__c_0309"", ""Bangchak2024__c_0310"", ""Bangchak2024__c_0311"", ""Bangchak2024__c_0312""]",no_evidence,standard,No evidence directly links stakeholder engagement to actions or effectiveness related to 'Conflict and security'.,"[""Bangchak2024__c_0312"", ""Bangchak2024__c_0308""]",no_evidence,standard,No evidence directly addresses stakeholder engagement related to 'Conflict and security'.,"[""Bangchak2024__c_0298"", ""Bangchak2024__c_0299"", ""Bangchak2024__c_0300"", ""Bangchak2024__c_0301"", ""Bangchak2024__c_0302""]",no_evidence,standard,No evidence directly links stakeholder engagement to actions or effectiveness for 'Conflict and security'.,"[""Bangchak2024__c_0312"", ""Bangchak2024__c_0308"", ""Bangchak2024__c_0314"", ""Bangchak2024__c_0300"", ""Bangchak2024__c_0306""]",all_agree
D091,disagreement,Mubadala2024,phase5,GRI 3,3-3,"Talent Attraction, Retention, & Development",e.iii,0,pass,standard,"Progress metrics (12% turnover, 14% new hires, 3,252 training days) are explicitly stated.","[""Mubadala2024__c_0088"", ""Mubadala2024__c_0091""]",pass,standard,"Progress toward goals (e.g., 14% new hire rate, 12% turnover) is quantified and discussed.","[""Mubadala2024__c_0088"", ""Mubadala2024__c_0091""]",no_evidence,standard,No evaluation of progress toward talent management goals or targets is provided.,"[""Mubadala2024__c_0088"", ""Mubadala2024__c_0091""]",pass,standard,Reports metrics like '79% workforce aged 30-50' and '100% employees received reviews' to show progress toward goals.,"[""Mubadala2024__c_0088"", ""Mubadala2024__c_0089"", ""Mubadala2024__c_0091""]",1v3
D092,disagreement,Energean2024,phase5,GRI 3,3-3,Business conduct,e.i,0,partial,standard,"Mentions ISO 45001 and internal controls, but lacks explicit linkage to tracking effectiveness of 'Business conduct' actions.","[""Energean2024__c_0217"", ""Energean2024__c_0218""]",pass,standard,"Processes like ISO 45001, ERM System, and HSE questionnaires are explicitly described for tracking effectiveness.","[""Energean2024__c_0218"", ""Energean2024__c_0221"", ""Energean2024__c_0222""]",no_evidence,standard,No explicit processes for tracking effectiveness of actions related to 'Business conduct'.,"[""Energean2024__c_0215"", ""Energean2024__c_0217"", ""Energean2024__c_0218"", ""Energean2024__c_0220"", ""Energean2024__c_0222""]",no_evidence,standard,No explicit processes for tracking effectiveness of actions related to 'Business conduct'.,"[""Energean2024__c_0220"", ""Energean2024__c_0222"", ""Energean2024__c_0218"", ""Energean2024__c_0219"", ""Energean2024__c_0217""]",3stat
D093,disagreement,OQ2023,phase5,GRI 3,3-3,"Diversity, Equity, and Inclusion",d.i,0,pass,standard,"Describes actions (panel discussions, sports activities) to mitigate potential negative impacts.","[""OQ2023__c_0178""]",pass,standard,"Describes actions (panel discussions, sports activities) to foster inclusion and address challenges.","[""OQ2023__c_0178""]",pass,standard,"Describes actions to prevent/mitigate impacts (e.g., Work-Life Harmony Sessions, sports activities).","[""OQ2023__c_0178""]",pass,standard,"Describes actions (panel discussions, sports activities) to prevent/mitigate potential negative impacts on DEI.","[""OQ2023__c_0178""]",all_agree
D094,disagreement,OKQ82024,phase5,GRI 3,3-3,Anti-competitive behavior,d.i,0,pass,standard,Code of Conduct and procurement due diligence processes aim to prevent anti-competitive behavior (chunk 122).,"[""OKQ82024__c_0122""]",pass,standard,"Code of Conduct, ethics council, and procurement due diligence address prevention/mitigation of anti-competitive risks.","[""OKQ82024__c_0122"", ""OKQ82024__c_0125""]",no_evidence,standard,No evidence describes actions to prevent/mitigate anti-competitive behavior impacts.,[],no_evidence,standard,No evidence describes actions to prevent/mitigate anti-competitive behavior impacts.,[],2v2
D095,disagreement,Bangchak2024,phase5,GRI 3,3-3,Energy Accessibility & Security,d.i,0,pass,standard,Describes actions to enhance refining efficiency and optimize GRM to mitigate potential negative impacts.,"[""Bangchak2024__c_0242""]",pass,standard,Actions to prevent negative impacts include safety targets and refining capacity improvements.,"[""Bangchak2024__c_0235"", ""Bangchak2024__c_0238"", ""Bangchak2024__c_0242"", ""Bangchak2024__c_0244"", ""Bangchak2024__c_0245""]",partial,standard,References efficiency improvements but lacks explicit mitigation of potential negative impacts.,"[""Bangchak2024__c_0236"", ""Bangchak2024__c_0242""]",no_evidence,standard,No evidence describes actions to prevent/mitigate potential negative impacts on Energy Accessibility & Security.,[],3stat
D096,disagreement,HPCL2023,phase5,GRI 3,3-3,Energy Efficiency (GRI OGSS Topic : GHG Emissions),e.iii,0,pass,standard,"States energy savings achieved (1,32,136 SRFT/year) as progress toward goals.","[""HPCL2023__c_0166""]",pass,standard,"Reports annual energy savings (1,32,136 SRFT/year) as progress toward goals.","[""HPCL2023__c_0167""]",pass,standard,"Annual energy savings (1,32,136 SRFT/year) demonstrate progress toward energy efficiency goals.","[""HPCL2023__c_0167""]",pass,standard,"Energy savings (1,32,136 SRFT/year) in chunk 0167 demonstrate progress toward energy efficiency goals.","[""HPCL2023__c_0167""]",all_agree
D097,disagreement,OKQ82024,phase5,GRI 3,3-3,Occupational health and safety,e.ii,0,no_evidence,standard,"Metrics like safety walks and lost workday cases are reported but not tied to specific goals, targets, or indicators.",[],no_evidence,standard,"No specific goals, targets, or indicators for OHS effectiveness are reported.",[],no_evidence,standard,"No explicit goals, targets, or indicators for evaluating occupational health and safety progress are reported.",[],partial,standard,Metrics like lost workday cases and safety walks are mentioned but no explicit goals/targets.,"[""OKQ82024__c_0075"", ""OKQ82024__c_0140""]",1v3
D098,disagreement,OKQ82023,phase5,GRI 3,3-3,Employment,d.i,0,pass,standard,"Actions include safety measures, training programs, EHS team, and leadership development to prevent/mitigate negative impacts.","[""OKQ82023__c_0088"", ""OKQ82023__c_0092"", ""OKQ82023__c_0093"", ""OKQ82023__c_0100"", ""OKQ82023__c_0140""]",pass,standard,"Preventive actions include EHS system, safety walks, risk assessments, and training programs.","[""OKQ82023__c_0157"", ""OKQ82023__c_0159"", ""OKQ82023__c_0155"", ""OKQ82023__c_0093"", ""OKQ82023__c_0088""]",partial,standard,"Mentions of safety measures (chunk 0092) and work environment improvements (chunk 0099) suggest actions to prevent/mitigate impacts, but lack explicit linkage to Employment.","[""OKQ82023__c_0092"", ""OKQ82023__c_0099""]",pass,standard,"Actions like Ethics Council, EHS system, and safety walks mitigate employment-related risks.","[""OKQ82023__c_0143"", ""OKQ82023__c_0157"", ""OKQ82023__c_0159"", ""OKQ82023__c_0099"", ""OKQ82023__c_0141""]",1v3
D099,disagreement,OKQ82023,phase5,GRI 3,3-3,Freedom of association and collective bargaining,d.ii,0,no_evidence,standard,No mention of addressing actual negative impacts on the topic.,[],no_evidence,standard,No actions to address actual negative impacts on the material topic are described.,[],no_evidence,standard,No actions to address actual negative impacts on the material topic are described.,[],no_evidence,standard,No actions to address actual negative impacts on the topic are described.,"[""OKQ82023__c_0073"", ""OKQ82023__c_0071"", ""OKQ82023__c_0088"", ""OKQ82023__c_0099"", ""OKQ82023__c_0070""]",all_agree
D100,disagreement,Bangchak2024,phase5,GRI 3,3-3,Non-discrimination and equal opportunity,e.iv,0,pass,standard,Process reviews and HRDD manual development indicate incorporation of lessons learned.,"[""Bangchak2024__c_0304"", ""Bangchak2024__c_0306""]",partial,standard,"Process reviews (chunk_0304, chunk_0306) suggest lessons learned but lack explicit links to policy updates for non-discrimination.","[""Bangchak2024__c_0304"", ""Bangchak2024__c_0306"", ""Bangchak2024__c_0316"", ""Bangchak2024__c_0300"", ""Bangchak2024__c_0314""]",no_evidence,standard,No mention of lessons learned or policy updates related to non-discrimination.,"[""Bangchak2024__c_0300"", ""Bangchak2024__c_0303"", ""Bangchak2024__c_0304"", ""Bangchak2024__c_0313"", ""Bangchak2024__c_0314""]",no_evidence,standard,Mentions process reviews but does not specify lessons learned related to non-discrimination.,"[""Bangchak2024__c_0314"", ""Bangchak2024__c_0306""]",3stat
D101,disagreement,HPCL2024,phase6,GRI 304: Biodiversity 2016,304-3,Biodiversity (GRI OGSS Topic: Biodiversity),b,0,partial,standard,Mentions animal adoption partnerships but lacks explicit details on distinct habitat areas managed by third parties.,"[""HPCL2024__c_0138""]",no_evidence,standard,No mention of third-party partnerships for distinct habitat areas.,[],no_evidence,standard,No explicit mention of partnerships with third parties for distinct habitat areas.,"[""HPCL2024__c_0136"", ""HPCL2024__c_0137""]",no_evidence,standard,No explicit mention of partnerships for distinct habitat areas.,"[""HPCL2024__c_0136"", ""HPCL2024__c_0137"", ""HPCL2024__c_0138"", ""HPCL2024__c_0139""]",1v3
D102,disagreement,Bangchak2024,phase6,GRI 305: Emissions 2016,305-1,"GHG Emissions & Climate adaptation, resilience, and transition",e,0,no_evidence,standard,No mention of emission factors or GWP sources in the evidence.,[],no_evidence,standard,No mention of emission factors or GWP sources in the evidence.,[],no_evidence,standard,No evidence mentions emission factors or GWP sources in the chunks.,"[""Bangchak2024__c_0318""]",no_evidence,standard,No evidence mentions emission factors or GWP sources in the chunks.,"[""Bangchak2024__c_0318""]",all_agree
D103,disagreement,Mubadala2024,phase6,GRI 305: Emissions 2016,305-5,GHG & Other Air Emissions,c,0,partial,standard,Base year (2022) is referenced but no explicit rationale for its selection is provided.,"[""Mubadala2024__c_0067""]",no_evidence,standard,Report references a three-year trend but does not explicitly state the base year or rationale for selection.,[],no_evidence,standard,No explicit mention of base year or rationale for choosing it in the evidence.,[],no_evidence,standard,No explicit mention of a base year or baseline selection rationale.,[],1v3
D104,disagreement,OQ2023,phase6,GRI 403: Occupational Health and Safety 2018,403-2,Occupational Health and Safety,d,0,pass,standard,"Describes incident investigation processes, hazard identification, and corrective actions via the Incident Reporting and Investigation Standard.","[""OQ2023__c_0175""]",partial,standard,Describes incident investigation processes and a case study on hazard mitigation but lacks explicit mention of the hierarchy of controls.,"[""OQ2023__c_0175""]",partial,standard,"Incident investigation standard described (chunk 175), but lacks explicit hierarchy of controls or system improvement details.","[""OQ2023__c_0175""]",partial,standard,"Mentions incident investigation standards and a case study, but lacks full process description.","[""OQ2023__c_0175""]",1v3
D105,disagreement,HPCL2023,phase6,GRI 413: Local Communities 2016,413-1,Diversity & Inclusion (GRI OGSS Topic: Local Communities),a.iv,0,no_evidence,standard,Community development programs are described but no percentage of operations is provided.,"[""HPCL2023__c_0306"", ""HPCL2023__c_0308""]",pass,standard,Describes community programs tailored to local needs through stakeholder consultation.,"[""HPCL2023__c_0306""]",no_evidence,standard,No explicit percentage of operations with community development programs is provided.,"[""HPCL2023__c_0306"", ""HPCL2023__c_0308""]",no_evidence,standard,No chunk explicitly states a percentage of operations with local community development programs based on local needs.,"[""HPCL2023__c_0306"", ""HPCL2023__c_0307""]",1v3
D106,disagreement,IslandOil2024,phase6,GRI 303: Water and Effluents 2018,303-1,Preserving Water Quality and Marine Ecosystems,c,0,no_evidence,standard,No mention of stakeholder collaboration or supplier/customer engagement related to water stewardship.,[],partial,standard,Mentions compliance with regulations and internal procedures but lacks explicit stakeholder engagement or supplier/customer collaboration details.,"[""IslandOil2024__c_0071"", ""IslandOil2024__c_0072""]",no_evidence,standard,"No mention of stakeholder engagement, supplier/customer collaboration, or water stewardship initiatives beyond regulatory compliance.",[],no_evidence,standard,No explicit mention of stakeholder engagement or collaborative water stewardship practices.,[],1v3
D107,disagreement,OKQ82023,phase6,GRI 401: Employment 2016,401-2,Employment,a.vii,0,no_evidence,standard,No evidence explicitly describes benefits exclusive to full-time employees vs. temporary/part-time across locations.,"[""OKQ82023__c_0095"", ""OKQ82023__c_0098"", ""OKQ82023__c_0100"", ""OKQ82023__c_0156"", ""OKQ82023__c_0158""]",no_evidence,standard,No evidence describes benefits exclusive to full-time employees vs. temporary/part-time employees by location.,"[""OKQ82023__c_0095"", ""OKQ82023__c_0158"", ""OKQ82023__c_0159"", ""OKQ82023__c_0160"", ""OKQ82023__c_0098""]",partial,standard,Evidence mentions parental leave and benefits but does not explicitly state whether these are exclusive to full-time employees or unavailable to temporary/part-time workers.,"[""OKQ82023__c_0095"", ""OKQ82023__c_0098""]",no_evidence,standard,No evidence describes benefits exclusive to full-time employees or differentiates benefits by employment type.,[],1v3
D108,disagreement,Energean2024,phase6,GRI 305: Emissions 2016,305-7,Pollution,c,0,no_evidence,standard,"No explicit mention of standards/methodologies for NOx/SOx calculations in evidence. References to general monitoring practices and other emission types (VOCs, methane) do not satisfy the requirement.","[""Energean2024__c_0150"", ""Energean2024__c_0227"", ""Energean2024__c_0228"", ""Energean2024__c_0232""]",no_evidence,standard,"No explicit mention of standards/methodologies for calculating NOx/SOx emissions. General references to IPCC, GHG Protocol apply to broader emissions, not specifically to NOx/SOx.","[""Energean2024__c_0150"", ""Energean2024__c_0227"", ""Energean2024__c_0228"", ""Energean2024__c_0149"", ""Energean2024__c_0232""]",pass,standard,"Evidence explicitly describes methodologies (IPCC, Concawe, EPA, GHG protocol) used for emissions calculations.","[""Energean2024__c_0227"", ""Energean2024__c_0228"", ""Energean2024__c_0232""]",partial,standard,"SOx emissions are reported (60% increase), but NOx is incorrectly referred to as N2O (nitrous oxide) instead of NOx. No explicit mention of NOx emissions.","[""Energean2024__c_0150""]",3stat
D109,disagreement,Energean2024,phase6,GRI 402: Labour/Management Relations 2016,402-1,Own workforce,b,0,pass,standard,Collective agreements in Italy specify predefined notice procedures for operational changes.,"[""Energean2024__c_0194""]",pass,standard,"Evidence explicitly states that in Italy (with CBAs), predefined notice procedures apply in collective agreements.","[""Energean2024__c_0194""]",partial,standard,Mentions predefined notice procedures in Italy but does not explicitly confirm if CBAs specify notice periods and consultation.,"[""Energean2024__c_0192""]",no_evidence,standard,No explicit mention of whether collective agreements specify notice periods or consultation provisions.,"[""Energean2024__c_0194"", ""Energean2024__c_0192""]",3stat
D110,disagreement,Bapco2024,phase6,GRI 406: Non-discrimination 2016,406-1,"Diversity, Inclusion & Equal Opportunity",b.iii,0,no_evidence,standard,No evidence describes implemented remediation results or internal reviews.,[],no_evidence,standard,No implementation or review of remediation plans due to zero reported incidents.,[],no_evidence,standard,No evidence of remediation results reviewed through internal processes.,[],pass,reported_non_existence,"Zero discrimination incidents reported, so no remediation results to describe.","[""Bapco2024__c_0073""]",1v3
D111,disagreement,Bangchak2025,phase6,GRI 403: Occupational Health and Safety 2018,403-2,Occupational health and safety,b,0,pass,standard,"Processes for reporting hazards and protection against reprisals are outlined in chunks 0277 and 0278, including whistleblower channels and Safety Committee activities.","[""Bangchak2025__c_0277"", ""Bangchak2025__c_0278""]",no_evidence,standard,No explicit description of processes for workers to report hazards or protections against reprisals.,[],no_evidence,standard,"No explicit description of worker reporting mechanisms or reprisal protections (chunks 0274, 0278 lack direct evidence).","[""Bangchak2025__c_0274"", ""Bangchak2025__c_0278""]",no_evidence,standard,No explicit description of worker reporting mechanisms or reprisal protections in the evidence.,[],1v3
D112,disagreement,Mubadala2023,phase6,GRI 403: Occupational Health and Safety 2018,403-9,"Health, Safety & Security of People",d,0,pass,standard,"Evidence describes actions to eliminate hazards via hierarchy of controls, including training, HSSE committees, and risk mitigation.","[""Mubadala2023__c_0064"", ""Mubadala2023__c_0070"", ""Mubadala2023__c_0075"", ""Mubadala2023__c_0076"", ""Mubadala2023__c_0067""]",pass,standard,"Evidence mentions proactive risk management, hazard elimination training, and HSSE induction aligning with hierarchy of controls.","[""Mubadala2023__c_0064"", ""Mubadala2023__c_0070"", ""Mubadala2023__c_0076"", ""Mubadala2023__c_0080""]",pass,standard,"Evidence describes proactive risk management, HSSE Committees, training programs, and contractor engagement to eliminate hazards.","[""Mubadala2023__c_0064"", ""Mubadala2023__c_0077"", ""Mubadala2023__c_0076"", ""Mubadala2023__c_0067"", ""Mubadala2023__c_0070""]",no_evidence,standard,No explicit mention of actions to eliminate hazards using hierarchy of controls.,"[""Mubadala2023__c_0070"", ""Mubadala2023__c_0077"", ""Mubadala2023__c_0064"", ""Mubadala2023__c_0076"", ""Mubadala2023__c_0079""]",1v3
D113,disagreement,IslandOil2024,phase6,GRI 305: Emissions 2016,305-2,Responding to Climate Change: Adaptation and Mitigation,a,0,no_evidence,standard,No explicit metric tons of CO2e for location-based Scope 2 emissions provided.,"[""IslandOil2024__c_0056""]",no_evidence,standard,No explicit mention of location-based Scope 2 emissions in metric tons of CO2e.,"[""IslandOil2024__c_0056""]",pass,standard,"Chunk 0056 explicitly reports Scope 2 emissions in tonnes of CO2e and references location-based sources (e.g., Cyprus, Romania).","[""IslandOil2024__c_0056""]",no_evidence,standard,No explicit mention of location-based Scope 2 emissions in the evidence.,"[""IslandOil2024__c_0056""]",1v3
D114,disagreement,IslandOil2024,phase6,GRI 403: Occupational Health and Safety 2018,403-3,Caring for our people,a,0,pass,standard,"Evidence describes hazard identification, risk mitigation, training programs, and quality assurance mechanisms (e.g., Floor Safety Officers, quarterly inspections, training evaluations).","[""IslandOil2024__c_0112"", ""IslandOil2024__c_0113"", ""IslandOil2024__c_0125""]",partial,standard,"Evidence describes training programs and risk assessments but lacks explicit details on occupational health services’ functions (e.g., medical services, health monitoring). Access is partially addressed (free training), but quality assurance mechanisms are not fully detailed.","[""IslandOil2024__c_0125"", ""IslandOil2024__c_0112"", ""IslandOil2024__c_0113""]",pass,standard,"Evidence describes hazard identification, risk mitigation, training programs, and quality assurance mechanisms (e.g., evaluations, inspections, PPE).","[""IslandOil2024__c_0112"", ""IslandOil2024__c_0113"", ""IslandOil2024__c_0125""]",pass,standard,"Evidence describes occupational health functions (training, risk assessments, PPE) and quality assurance (external providers, evaluations, compliance with standards). Access is ensured via free, mandatory training during working hours.","[""IslandOil2024__c_0125"", ""IslandOil2024__c_0112"", ""IslandOil2024__c_0113""]",1v3
D115,disagreement,OKQ82023,phase6,GRI 402: Labour/Management Relations 2016,402-1,Labour/management relations,b,0,pass,standard,Evidence states notice periods align with collective agreements in Sweden and Denmark.,"[""OKQ82023__c_0173""]",no_evidence,standard,No explicit statement on whether notice periods and consultation provisions are specified in collective agreements.,"[""OKQ82023__c_0173""]",no_evidence,standard,No evidence explicitly states whether notice periods and consultation provisions are specified in collective agreements.,"[""OKQ82023__c_0173""]",no_evidence,standard,No explicit confirmation whether notice periods and consultation provisions are specified in collective agreements.,"[""OKQ82023__c_0173""]",1v3
D116,disagreement,Bapco2023,phase6,GRI 403: Occupational Health and Safety 2018,403-8,"Health, safety and well-being",b,0,no_evidence,standard,No verdict produced.,[],no_evidence,standard,No verdict produced.,[],no_evidence,standard,No explicit mention of excluded workers or reasons for exclusion.,[],pass,reported_non_existence,"Evidence explicitly states 100% coverage of workers, implying no exclusions.","[""Bapco2023__c_0063""]",1v3
D117,disagreement,IslandOil2024,phase6,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1,Caring for our people,b,0,no_evidence,standard,No verdict produced.,[],no_evidence,standard,No verdict produced.,[],pass,standard,"Explicitly describes measures supporting freedom of association (CBAs, transparency policies).","[""IslandOil2024__c_0083"", ""IslandOil2024__c_0084""]",no_evidence,standard,No explicit measures taken in the reporting period to support freedom of association rights are described.,"[""IslandOil2024__c_0084"", ""IslandOil2024__c_0083""]",1v3
D118,disagreement,Bapco2023,phase6,GRI 401: Employment 2016,401-2,Employment (Employment Attraction & Retention),a.ii,0,no_evidence,standard,Health care is mentioned but not explicitly tied to full-time exclusivity.,"[""Bapco2023__c_0061""]",partial,standard,Health care benefits are mentioned but not tied to full-time exclusivity.,"[""Bapco2023__c_0061""]",no_evidence,standard,No evidence on health care benefits excluded for temporary/part-time employees by location.,[],no_evidence,standard,Health care benefits described but no comparison to temporary/part-time employee access.,"[""Bapco2023__c_0061""]",1v3
D119,disagreement,Bapco2023,phase6,GRI 401: Employment 2016,401-2,Employment (Employment Attraction & Retention),a.iii,0,no_evidence,standard,No mention of disability coverage or its exclusivity to full-time employees.,[],partial,standard,No explicit mention of disability coverage differentiation by employment type.,"[""Bapco2023__c_0061""]",no_evidence,standard,No evidence on disability/invalidity coverage excluded for temporary/part-time employees by location.,[],no_evidence,standard,Disability coverage not explicitly addressed in relation to employee type.,"[""Bapco2023__c_0061""]",1v3
